Date,Dividends
2016-12-05,0.135000
2016-08-31,0.135000
2016-06-03,0.135000
2016-03-10,0.135000
2015-12-07,0.118000
2015-09-02,0.118000
2015-06-05,0.117500
2015-03-05,0.117500
2014-12-08,0.100000
2014-09-03,0.100000
2014-06-06,0.100000
2014-03-06,0.100000
2013-12-09,0.085000
2013-09-04,0.085000
2013-06-07,0.085000
2013-02-20,0.085000
2012-12-03,0.070000
2012-08-29,0.070000
2012-06-01,0.070000
2012-02-15,0.070000
2011-11-25,0.055000
2011-08-31,0.055000
2011-06-03,0.055000
2011-02-16,0.055000
2010-12-03,0.040000
2010-08-31,0.040000
2010-06-03,0.040000
2010-02-17,0.040000
2009-12-04,0.027500
2009-09-01,0.027500
2009-06-04,0.027500
2009-02-18,0.027500
2008-12-08,0.023750
2008-09-03,0.023750
2008-06-12,0.023750
2008-02-20,0.023750
2007-12-10,0.018750
2007-09-05,0.018750
2007-06-14,0.018750
2007-02-21,0.018750
2006-12-04,0.015000
2006-08-30,0.015000
2006-06-08,0.015000
2006-02-22,0.015000
2005-12-05,0.015000
2005-08-30,0.012500
2005-06-09,0.012500
2005-02-23,0.012500
2004-12-06,0.010750
2004-08-31,0.010750
2004-06-10,0.010750
2004-02-25,0.010750
2003-11-28,0.007250
2003-09-02,0.007250
2003-06-12,0.007250
2003-02-26,0.007250
2002-12-09,0.006000
2002-08-30,0.006000
2002-06-13,0.006000
2002-02-27,0.006000
2001-12-10,0.005380
2001-08-31,0.005380
2001-06-14,0.005380
2001-02-28,0.005380
2000-11-29,0.004750
2000-09-06,0.004750
2000-06-15,0.004750
2000-03-01,0.004750
1999-12-01,0.004130
1999-09-02,0.004060
1999-06-09,0.004060
1999-03-03,0.004060
1998-12-02,0.003440
1998-09-08,0.003440
1998-06-10,0.003440
1998-03-04,0.003440
1997-12-03,0.002810
1997-09-03,0.002810
1997-06-11,0.002810
1997-03-06,0.002810
1996-12-04,0.002190
1996-09-04,0.002190
1996-06-12,0.002190
1996-03-06,0.002190
1995-12-06,0.001880
1995-09-06,0.001880
1995-06-06,0.001880
1995-03-06,0.001880
1994-12-05,0.001560
1994-09-02,0.001560
1994-06-14,0.001560
1994-03-07,0.001560
